Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,C,23,TOR,12,0,20.4,3,7.7,0.391,0.4,2.3,0.179,2.6,5.3,0.484,0.418,2.3,2.8,0.848,2,5,7,1.3,0.2,0.6,1.3,1.6,8.8
2,Steven Adams,C,29,MEM,14,14,26.1,2.9,4.8,0.612,0,0,,2.9,4.8,0.612,0.612,0.6,2.2,0.29,5,5.9,10.9,2.6,0.7,1.1,2.3,2.9,6.5
3,Bam Adebayo,C,25,MIA,14,14,35,7.4,14,0.531,0,0.4,0,7.4,13.6,0.545,0.531,4.2,4.9,0.855,2.4,6.7,9.1,3.4,1.2,0.8,3.6,3.4,19.1
4,Ochai Agbaji,SG,22,UTA,6,0,11.2,1.3,3.2,0.421,0,1,0,1.3,2.2,0.615,0.421,0.7,1.2,0.571,0.7,1,1.7,0.2,0,0,0,1,3.3
5,Santi Aldama,PF,22,MEM,15,14,27.5,3.7,8,0.467,1.2,3.6,0.333,2.5,4.4,0.576,0.542,1,1.6,0.625,1.8,4.5,6.3,0.9,0.9,1.1,0.7,2.8,9.7
6,Nickeil Alexander-Walker,SG,24,UTA,9,0,7.8,1,3,0.333,0.4,1.4,0.308,0.6,1.6,0.357,0.407,0.4,0.6,0.8,0,0.7,0.7,1.1,0.6,0.3,0.6,1.2,2.9
7,Grayson Allen,SG,27,MIL,12,11,25.4,2.9,7.1,0.412,1.9,4.5,0.426,1,2.6,0.387,0.547,2.3,2.5,0.933,0.8,1.9,2.7,2.5,0.8,0.3,1.6,1.6,10.1
8,Jarrett Allen,C,24,CLE,12,12,32.5,5.8,10.3,0.556,0,0.2,0,5.8,10.2,0.566,0.556,2.5,3.3,0.769,3.5,8,11.5,1.2,0.4,1.3,1.4,2.3,14
9,Jose Alvarado,PG,24,NOP,14,2,19,3.1,6.6,0.467,1.4,3.5,0.408,1.6,3.1,0.535,0.576,0.4,0.6,0.667,0.4,1.7,2.1,3,0.9,0.2,1.3,2.1,8
10,Kyle Anderson,PF,29,MIN,10,2,19.3,2.2,4,0.55,0.6,1.3,0.462,1.6,2.7,0.593,0.625,1.1,1.3,0.846,0.4,2.5,2.9,2.9,0.8,0.5,0.8,1.2,6.1
11,Giannis Antetokounmpo,PF,28,MIL,10,10,32.6,11.1,21.1,0.526,0.8,3.3,0.242,10.3,17.8,0.579,0.545,8.3,12.9,0.643,1.8,10,11.8,5.2,1.1,1.3,3.8,3.2,31.3
12,Thanasis Antetokounmpo,SF,30,MIL,7,0,2.7,0,0.1,0,0,0,,0,0.1,0,0,0,0,,0.1,0.6,0.7,0.1,0,0.1,0.1,0.3,0
13,Cole Anthony,PG,22,ORL,4,3,30.5,5.5,13.3,0.415,1.8,5,0.35,3.8,8.3,0.455,0.481,2.8,3.8,0.733,0.8,4,4.8,4.3,0.8,0.8,2,3.5,15.5
14,OG Anunoby,SF,25,TOR,15,15,35.5,6.4,13.9,0.459,1.8,5,0.36,4.6,8.9,0.515,0.524,2.7,3.3,0.82,1.4,4.7,6.1,1.9,2.7,1,2.3,3.3,17.3
